娛樂稅稅源,申報家(件)數,查定家(件)數,申報營業總額,查定營業總額,本月份申報報繳稅額,本月份查定報繳稅額,申報報繳稅額累計數,查定報繳稅額累計數,本月份申報實徵稅額,本月份查定實徵稅額,申報實徵稅額累計數,查定實徵稅額累計數,,,,,
合　　計,464,,"54,840,164",,"1,760,385",,"19,077,550",,"1,880,420",,"19,126,188",,,,,,
自動申報-總計,37,,"31,591,567",,"861,545",,"8,942,624",,"854,355",,"8,890,419",,,,,,
查定課徵-總計,419,,"17,033,005",,"891,732",,"9,987,288",,"1,024,485",,"10,092,066",,,,,,
臨時公演-總計,8,,"6,215,592",,"7,108",,"147,638",,"1,580 ",,"143,703",,,,,,
違章補徵稅款-總計,,,,,,,,,,,,,,,,,
電影0-小　　　計, 2 , - ," 2,079,751 ", - ," 10,377 ", - ," 194,084 ", - ," 10,377 ", - ," 194,050 ", - ,,,,,
電影0-本國片繁榮地區A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片偏僻地區B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片郊區C, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片繁榮地區D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片偏僻地區E, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片郊區F, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-國洋片混片G, 2 , - ," 2,079,751 ", - ," 10,377 ", - ," 194,084 ", - ," 10,377 ", - ," 194,050 ", - ,,,,,
電影0-其他H, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 歌廳1, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 撞球場2　, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 保齡球館3, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
高爾夫球場4-小　計, 1 , - ," 4,328,595 ", - ," 196,754 ", - ," 2,024,766 ", - ," 196,754 ", - ," 2,024,766 ", - ,,,,,
高爾夫球場4-球　場A, 1 , - ," 4,328,595 ", - ," 196,754 ", - ," 2,024,766 ", - ," 196,754 ", - ," 2,024,766 ", - ,,,,,
高爾夫球場4-練習場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-小　計, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　廳A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-小　　　計, - , 28 , - ," 1,881,080 ", - ," 124,649 ", - ," 1,355,999 ", - ," 124,799 ", - ," 1,358,261 ",,,,,
電子遊戲機6-電動玩具、小鋼珠A, - , 13 , - ," 1,699,580 ", - ," 115,649 ", - ," 1,256,999 ", - ," 114,449 ", - ," 1,259,319 ",,,,,
電子遊戲機6-娃娃機B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-其　他C, - , 15 , - ," 181,500 ", - ," 9,000 ", - ," 99,000 ", - ," 10,350 ", - ," 98,942 ",,,,,
 有節目餐飲業7, - , 1 , - ," 13,125 ", - , 625 , - ," 9,550 ", - , 625 , - ," 28,168 ",,,,,
視聽視唱業8-小　　　計, 5 , 107 ," 3,330,256 "," 4,295,000 "," 166,349 "," 223,505 "," 1,707,230 "," 2,438,536 "," 166,349 "," 314,546 "," 1,707,230 "," 2,465,169 ",,,,,
視聽視唱業8-KTV(卡拉ok)投幣式A, - , 56 , - ," 1,098,100 ", - ," 58,701 ", - ," 593,036 ", - ," 50,326 ", - ," 628,101 ",,,,,
視聽視唱業8-KTV(卡拉ok)非投幣式B, 5 , 51 ," 3,330,256 "," 3,196,900 "," 166,349 "," 164,804 "," 1,707,230 "," 1,845,500 "," 166,349 "," 264,220 "," 1,707,230 "," 1,836,766 ",,,,,
視聽視唱業8-MTV C, - , - , - , - , - , - , - , - , - , - , - , 302 ,,,,,
視聽視唱業8-其　他D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
其他9-小計, 29 , 283 ," 21,852,965 "," 10,843,800 "," 488,065 "," 542,953 "," 5,016,544 "," 6,183,203 "," 480,875 "," 584,515 "," 4,964,373 "," 6,240,468 ",,,,,
其他9-資訊休閒業A, - , 5 , - ," 1,224,600 ", - ," 61,230 ", - ," 688,130 ", - ," 81,750 ", - ," 711,012 ",,,,,
其他9-電動搖搖馬B, - , 27 , - ," 155,250 ", - ," 8,608 ", - ," 93,203 ", - ," 6,648 ", - ," 93,318 ",,,,,
其他9-具娛樂性之選物販賣機C, 1 , 170 ," 74,120 "," 8,059,250 "," 3,369 "," 411,255 "," 34,226 "," 4,774,060 "," 3,369 "," 400,587 "," 34,226 "," 4,806,427 ",,,,,
其他9-機動遊藝樂園D, 1 , - ," 14,633,120 ", - ," 155,784 ", - ," 1,683,697 ", - ," 155,784 ", - ," 1,683,697 ", - ,,,,,
其他9-機動遊艇、動力飛行器E, - , 17 , - ," 224,000 ", - ," 7,400 ", - ," 81,400 ", - ," 7,700 ", - ," 81,400 ",,,,,
其他9-實境體感娛樂設施F, 1 , - ," 329,149 ", - ," 16,457 ", - ," 156,216 ", - ," 16,457 ", - ," 156,078 ", - ,,,,,
其他9-其他G, 26 , 64 ," 6,816,576 "," 1,180,700 "," 312,455 "," 54,460 "," 3,142,405 "," 546,410 "," 305,265 "," 87,830 "," 3,090,372 "," 548,311 ",,,,,
臨時公演-小　　　計, 8 ,," 6,215,592 ", - ," 7,108 ", - ," 147,638 ", - ," 1,580 ", - ," 143,703 ",,,,,,
臨時公演-職業性歌唱、舞蹈、馬戲、魔術、技藝表演及夜總會之各種表演A, - , - , - , - , - , - ," 135,772 ",, - ,," 135,772 ",,,,,,
臨時公演-說書、戲劇、音樂演奏及非職業性歌唱、舞蹈等表演B, 5 , - ," 1,490,732 ", - ," 7,108 ", - ," 11,866 ", - ," 1,580 ", - ," 7,931 ",,,,,,
臨時公演-各種競技比賽C, 3 , - ," 4,724,860 ", - , - , - , - , - , - , - , - ,,,,,,
臨時公演-其他D, - , - , - , - , - , - , - , - , - , - , - ,,,,,,
違章補徵稅款1, - , - , - , - , - , - , - , - , - , - , - ,,,,,,
